pid,label,autores,keyword,grupo,fecha,ciudad,pais,conseguido,tipo_principal,nota,medio_impresion,intervencion_manual,portada_color,portada_especial,internas_color,papel_portada_color,Compaginado,order,layout,collection,thumbnail,full,manifest,descripcion,nota_archivo,editores
entrelasrama_lp4udf9hm2,Entre las ramas ando,Kevin Simón Mancera,entrelasramasandokevinmancera,"",2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Ilustración,"Parte de la curaduría LLamitas al viento de Manuel Kalmanovitz, Salón Nacional de Artistas 45",Offset,no,full,No,full,no,Cuadernillo,20,zine_item,zines,"/img/derivatives/iiif/images/entrelasrama_lp4udf9hm2/full/250,/0/default.jpg","/img/derivatives/iiif/images/entrelasrama_lp4udf9hm2/full/1140,/0/default.jpg",/img/derivatives/iiif/entrelasrama_lp4udf9hm2/manifest.json,"","",""
ficciorama92_lp4ualmv0b,Ficciorama 92,Boris Greiff,ficciorama92borisgreiff,"",2019,Bogotá,Colombia,Regalo de Boris Greiff,Texto,"",Fotocopia,no,no,No,no,no,Cuadernillo,21,zine_item,zines,"/img/derivatives/iiif/images/ficciorama92_lp4ualmv0b/full/250,/0/default.jpg","/img/derivatives/iiif/images/ficciorama92_lp4ualmv0b/full/1140,/0/default.jpg",/img/derivatives/iiif/ficciorama92_lp4ualmv0b/manifest.json,"","",""
franciscogus_lp4uffsine,Francisco,Gusanillo,franciscogusanillo,"",2020,Soacha,Colombia,"Regalo de Miguel Vallejo ""Gusanillo""",Cómic,"",Risografía,no,duo,No,duo,no,Cuadernillo,22,zine_item,zines,"/img/derivatives/iiif/images/franciscogus_lp4uffsine/full/250,/0/default.jpg","/img/derivatives/iiif/images/franciscogus_lp4uffsine/full/1140,/0/default.jpg",/img/derivatives/iiif/franciscogus_lp4uffsine/manifest.json,Cómic sobre la vida del Papa Francisco.,"",""
fuzilarmagra_lp4uar8s0h,Fuzil. Arma Grafika,"Base-v, Ex2 Saint Cat, Raya, Metralla, Kontra, M79, Pulpa, V8, BluemoonSkin, Fernardo Cardona, Harold Pardey, Carlos Torres, Dr.Makila",fuzilarmagrafika,"",2007,Cali,Colombia,Comprado en feria,Ilustración,"",Offset,no,no,No,no,sí,Cuadernillo,23,zine_item,zines,"/img/derivatives/iiif/images/fuzilarmagra_lp4uar8s0h/full/250,/0/default.jpg","/img/derivatives/iiif/images/fuzilarmagra_lp4uar8s0h/full/1140,/0/default.jpg",/img/derivatives/iiif/fuzilarmagra_lp4uar8s0h/manifest.json,"","","Ruda,Dr.Makila"
galeriaconce_lp4u0ndpe7,Galería De Conceptos,"Leonardo Kuntscher, Marcelo Mosqueira",galeriaconceptos,Colección Espantitos,2016,Buenos Aires,Argentina,Regalo de Paula Rodríguez Gómez,Ilustración,"",Offset,no,full,No,no,no,Cuadernillo,24,zine_item,zines,"/img/derivatives/iiif/images/galeriaconce_lp4u0ndpe7/full/250,/0/default.jpg","/img/derivatives/iiif/images/galeriaconce_lp4u0ndpe7/full/1140,/0/default.jpg",/img/derivatives/iiif/galeriaconce_lp4u0ndpe7/manifest.json,"","",""
grawlixes2va_lp4u3h4988,Programming with grawlixex 2. How Grawlixes Structured Comix,Marc van Elburg,grawlixes2valelburg,"",2014,"",Países Bajos,Regalo de Ocean Val Arboniés Flores,Texto,"",Fotocopia,no,no,No,no,no,Cuadernillo,25,zine_item,zines,"/img/derivatives/iiif/images/grawlixes2va_lp4u3h4988/full/250,/0/default.jpg","/img/derivatives/iiif/images/grawlixes2va_lp4u3h4988/full/1140,/0/default.jpg",/img/derivatives/iiif/grawlixes2va_lp4u3h4988/manifest.json,"","",""
grimoriobara_lp4ue4h7nl,Grimorio de Conjuros Musicales de ((Barakus)),"Alex Cendales ""Barakus"", Mario Alberto León Bonilla",grimoriobarakus,"",2017,Bogotá,Colombia,Comprado a autor,Ilustración,Incluye CD musical,Digital,no,no,No,no,sí,Cuadernillo,26,zine_item,zines,"/img/derivatives/iiif/images/grimoriobara_lp4ue4h7nl/full/250,/0/default.jpg","/img/derivatives/iiif/images/grimoriobara_lp4ue4h7nl/full/1140,/0/default.jpg",/img/derivatives/iiif/grimoriobara_lp4ue4h7nl/manifest.json,"","",""
groundskeepe_lp4uf2r9ka,Groundskeepers,AnneMarie Rogers,groundskeepersannemarierogers,"",2023,Chicago,Estados Unidos,Comprado en Quimby´s Chicago,Cómic,"",Digital,no,duo,No,duo,no,Cuadernillo,27,zine_item,zines,"/img/derivatives/iiif/images/groundskeepe_lp4uf2r9ka/full/250,/0/default.jpg","/img/derivatives/iiif/images/groundskeepe_lp4uf2r9ka/full/1140,/0/default.jpg",/img/derivatives/iiif/groundskeepe_lp4uf2r9ka/manifest.json,"","",""
lacasadelasl_lp4u2jj17s,La casa de las luces que estallan,Gatoenbus,lacasadelaslucesqueestallangatoenbus,Chigüiro Comix,2020,Pereira,Colombia,Comprado en feria Papel Caliente,Cómic,"",Digital,no,no,No,no,no,Cuadernillo,28,zine_item,zines,"/img/derivatives/iiif/images/lacasadelasl_lp4u2jj17s/full/250,/0/default.jpg","/img/derivatives/iiif/images/lacasadelasl_lp4u2jj17s/full/1140,/0/default.jpg",/img/derivatives/iiif/lacasadelasl_lp4u2jj17s/manifest.json,"","",""
libroparacol_lp4u2xte44,Libro para coloriar,"José Guio, Malchico, Ángela Acosta",libroparacoloriarvolcan,"",2009,Bogotá,Colombia,Comprado en feria,Ilustración,"Páginas de distintos tipos y tamaños, intervenciones manuales",Fotocopia,sí,no,No,no,no,Cuadernillo,29,zine_item,zines,"/img/derivatives/iiif/images/libroparacol_lp4u2xte44/full/250,/0/default.jpg","/img/derivatives/iiif/images/libroparacol_lp4u2xte44/full/1140,/0/default.jpg",/img/derivatives/iiif/libroparacol_lp4u2xte44/manifest.json,"","",""
